method,rep,warmup_discarded,timed_probes,keep_ratio,mean_vision_ms,mean_prune_overhead_ms,mean_language_ms,mean_forward_ms
full,1,5,95,1.0,10.294470773078501,0.8827715965085908,63.6664204103382,75.93345789508403
full,2,5,95,1.0,10.010535288357028,0.8583784997953396,63.48392183304225,75.37840923515002
full,3,5,95,1.0,10.421030334883222,0.8792610667449864,63.72348213519313,76.09392035335891
protected,1,5,95,0.4,10.084952090523744,5.902159519150461,37.8577635893108,54.67001546272322
protected,2,5,95,0.4,10.055676516831705,5.918390409236676,37.728113606327064,54.55377710689055
protected,3,5,95,0.4,9.825253792989411,5.908594443462789,37.85167295167125,54.423818979902485
scope,1,5,95,0.4,9.32177042858185,40.21798185636535,37.84610578594239,88.60784108431912
scope,2,5,95,0.4,9.24361570689239,39.86246618687322,37.38325684527425,87.6997948636448
scope,3,5,95,0.4,10.169596672303191,45.32994582734414,38.328846156793205,95.19531199414479
