method,repetitions,timed_probes_per_rep,keep_ratio,mean_vision_ms_mean,mean_vision_ms_std,mean_prune_overhead_ms_mean,mean_prune_overhead_ms_std,mean_language_ms_mean,mean_language_ms_std,mean_forward_ms_mean,mean_forward_ms_std,speedup_vs_full
full,3,95,1.0,9.899072096634068,0.17957415439352853,0.8509804114797398,0.014792920914245186,63.64292676168445,0.11641918285521956,75.42958189651631,0.3197986149954005,1.0
target,3,95,0.4010416666666667,9.930991436959358,0.43229792094342284,5.213823597959912,0.13355368201502565,37.87759594504901,0.2984923848826135,53.882683805810906,0.9168840967529668,1.3998853911649758
anchorprune,3,95,0.4010416666666667,9.963708180574733,0.04523826777633451,13.4332665740594,0.0947747590688742,37.79304888989907,0.032528900377118725,62.01445260044318,0.07056643733216772,1.216322626960949
