comparison,metric,n_images,n_random_seeds,difference,ci_low,ci_high,bootstrap,draws
"Qwen Target (30%) - Random (30%), development",accuracy,500,6,0.06566666666666666,0.046,0.0855,two-stage seed-and-image,20000
"Qwen Target (30%) - Random (30%), development",PosECR,500,6,0.3547393447388242,0.3172209481268287,0.3909427970265691,two-stage seed-and-image,20000
