beta,test_auroc,own_threshold,own_acc,own_hfpr,full_shared_acc,full_shared_hfpr,mean_ecr,mean_keep,dev_n,test_n
0.00,0.6951158387168634,2.645702362060547,0.6399253731343284,0.1791044776119403,0.6175373134328358,0.5223880597014925,0.8723668602537034,0.5,464,536
0.02,0.6918717977277791,2.468442916870117,0.6417910447761194,0.2835820895522388,0.6100746268656716,0.5410447761194029,0.8770409235183193,0.5,464,536
0.05,0.6958815994653598,2.3444762229919434,0.6529850746268657,0.3283582089552239,0.6156716417910447,0.5298507462686567,0.8926402053813055,0.5,464,536
0.10,0.6879733793717977,2.4892444610595703,0.6436567164179104,0.2798507462686567,0.6044776119402985,0.5559701492537313,0.9143301616022365,0.5,464,536
0.20,0.6970372020494542,2.4892444610595703,0.6529850746268657,0.2798507462686567,0.6138059701492538,0.5485074626865671,0.9403306927567843,0.5,464,536
