method,dev_n,test_n,test_auroc,method_threshold,method_acc,method_hfpr,full_shared_threshold,full_shared_acc,full_shared_hfpr,pooled_shared_threshold,pooled_shared_acc,pooled_shared_hfpr
Full,464,536,0.6868734684785031,2.0425992012023926,0.6455223880597015,0.30597014925373134,2.0425992012023926,0.6455223880597015,0.30597014925373134,2.3227834701538086,0.6380597014925373,0.19776119402985073
Target,464,536,0.6951158387168634,2.645702362060547,0.6399253731343284,0.1791044776119403,2.0425992012023926,0.6175373134328358,0.5223880597014925,2.3227834701538086,0.6548507462686567,0.33955223880597013
Grid,464,536,0.6992370238360437,2.3870019912719727,0.6473880597014925,0.2537313432835821,2.0425992012023926,0.6231343283582089,0.47388059701492535,2.3227834701538086,0.6436567164179104,0.2873134328358209
Random,464,536,0.6774337268879483,2.321713447570801,0.6138059701492538,0.3358208955223881,2.0425992012023926,0.6044776119402985,0.48507462686567165,2.3227834701538086,0.6138059701492538,0.3358208955223881
Soft evidence,464,536,0.6958815994653598,2.3444762229919434,0.6529850746268657,0.3283582089552239,2.0425992012023926,0.6156716417910447,0.5298507462686567,2.3227834701538086,0.6585820895522388,0.33955223880597013
