metric,n_random_seeds,mean,population_sd,minimum,maximum
accuracy,6,0.7331666666666666,0.005079916884709395,0.726,0.739
hFPR,6,0.16333333333333333,0.003771236166328257,0.158,0.168
PosECR,6,0.29448076550567887,0.016047323907654842,0.27008299651169226,0.3153397178620943
