method,n,accuracy,word_ecr,edit_ecr,edit_miss_rate,word_kept_edit_missed_rate
Full,102,0.8725490196078431,1.0,1.0,0.0,0.0
Target,102,0.9117647058823529,0.8687549725297,0.897125438601065,0.029411764705882353,0.058823529411764705
Random,102,0.7156862745098039,0.30388904648401555,0.31114203323751827,0.5784313725490197,0.029411764705882353
Grid,102,0.5882352941176471,0.3863265765160552,0.4107674288330592,0.3627450980392157,0.08823529411764706
