model_key,model,seeds_completed,n_per_seed,accuracy_mean,accuracy_min,accuracy_max,positive_accuracy_mean,positive_accuracy_min,positive_accuracy_max,hfpr_mean,hfpr_min,hfpr_max,auroc_mean,auroc_min,auroc_max,pairwise_positive_margin_win_rate_mean,pairwise_positive_margin_win_rate_min,pairwise_positive_margin_win_rate_max,delta_accuracy_vs_matched_mean,delta_accuracy_vs_matched_min,delta_accuracy_vs_matched_max
qwen,Qwen3-VL-8B,3,1000,0.5033333333333333,0.502,0.504,0.018666666666666668,0.014,0.022,0.011999999999999999,0.006,0.018,0.3994413333333333,0.385914,0.414336,0.318,0.284,0.346,-0.2796666666666667,-0.281,-0.279
llava,LLaVA-1.5-7B,3,1000,0.5563333333333333,0.555,0.558,0.3466666666666667,0.338,0.36,0.23399999999999999,0.228,0.244,0.5680513333333334,0.561776,0.575088,0.6186666666666666,0.614,0.626,-0.06866666666666667,-0.07,-0.067
internvl,InternVL3.5-8B,3,536,0.5248756218905473,0.5149253731343284,0.5317164179104478,0.1517412935323383,0.1455223880597015,0.16417910447761194,0.10199004975124377,0.08208955223880597,0.11567164179104478,0.5243976015445163,0.5152873691245267,0.5296697482735576,0.5360696517412935,0.5186567164179104,0.5485074626865671,-0.12064676616915422,-0.13059701492537312,-0.11380597014925373
