method,repetition,warmup_discarded,timed_probes,keep_ratio,mean_vision_ms,mean_prune_overhead_ms,mean_language_ms,mean_forward_ms
full,1,5,95,1.0,9.694018239449514,0.8341498268572124,63.51942517794669,75.06032322631462
full,2,5,95,1.0,9.97492387449663,0.8568700206907172,63.75065521386109,75.61689078636272
full,3,5,95,1.0,10.028274175956062,0.8619213868912897,63.65869989324557,75.6115316768716
target,1,5,95,0.4010416666666667,9.62820924132278,5.100327417695601,37.73920330169954,53.28707583616242
target,2,5,95,0.4010416666666667,9.7386912504015,5.180152946789014,37.67341832679353,53.4224542776907
target,3,5,95,0.4010416666666667,10.426073819153794,5.360990429395123,38.220166206653964,54.938521303579606
anchorprune,1,5,95,0.4010416666666667,10.013816713992702,13.393712044987632,37.828301965553116,62.0690474813608
anchorprune,2,5,95,0.4010416666666667,9.925872989391026,13.541411447926963,37.76419538220293,62.039539998544285
anchorprune,3,5,95,0.4010416666666667,9.95143483834047,13.364676229263607,37.78664932194117,61.93477032142446
