comparison,n,accuracy_diff,accuracy_ci_low,accuracy_ci_high,edit_ecr_diff,edit_ecr_ci_low,edit_ecr_ci_high,word_ecr_diff,word_ecr_ci_low,word_ecr_ci_high
Target - Random,102,0.19607843137254902,0.10784313725490197,0.28431372549019607,0.5859834053635466,0.49192359189185764,0.6761903464997041,0.5648659260456845,0.4883555166460986,0.6383888914056545
Target - Grid,102,0.3235294117647059,0.22549019607843138,0.4215686274509804,0.4863580097680057,0.3972905536328766,0.5752729928671988,0.48242839601364496,0.4135637382144233,0.551882947525899
