model,intervention,intervention_definition,predictor,correlation,n,estimate,ci_low,ci_high,valid_bootstrap_draws,estimable
LLaVA-1.5-7B,occlusion_drop,Original minus evidence-box-masked yes margin,geo_f1,spearman,50,0.200748987117,-0.0860879040932,0.456822603788,10000,1
LLaVA-1.5-7B,occlusion_drop,Original minus evidence-box-masked yes margin,geo_f1,pearson,50,0.354337098082,0.136866912301,0.569678738294,10000,1
LLaVA-1.5-7B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,ecr,spearman,50,0.269786176566,-0.0123016440826,0.519151225871,10000,1
LLaVA-1.5-7B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,ecr,pearson,50,0.360962935511,0.134505119902,0.552920288793,10000,1
LLaVA-1.5-7B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,local_provenance_precision,spearman,50,0.373650871826,0.0847425205832,0.612175713265,10000,1
LLaVA-1.5-7B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,local_provenance_precision,pearson,50,0.359658394628,0.176129678547,0.579352463304,10000,1
LLaVA-1.5-7B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,geo_f1,spearman,50,0.370282008615,0.0752119061577,0.607872347949,10000,1
LLaVA-1.5-7B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,geo_f1,pearson,50,0.397716235836,0.202659694811,0.603097764636,10000,1
InternVL3.5-8B,occlusion_drop,Original minus evidence-box-masked yes margin,ecr,spearman,50,0.109235229895,-0.20258729838,0.395970309606,10000,1
InternVL3.5-8B,occlusion_drop,Original minus evidence-box-masked yes margin,ecr,pearson,50,0.0959078022316,-0.20388424048,0.302069909385,10000,1
InternVL3.5-8B,occlusion_drop,Original minus evidence-box-masked yes margin,local_provenance_precision,spearman,50,0.133829531813,-0.172733905119,0.421342301024,10000,1
InternVL3.5-8B,occlusion_drop,Original minus evidence-box-masked yes margin,local_provenance_precision,pearson,50,0.0551814777632,-0.180943881937,0.337036336738,10000,1
InternVL3.5-8B,occlusion_drop,Original minus evidence-box-masked yes margin,geo_f1,spearman,50,0.141896758703,-0.154603986096,0.411161109528,10000,1
InternVL3.5-8B,occlusion_drop,Original minus evidence-box-masked yes margin,geo_f1,pearson,50,0.0942672538387,-0.174146426115,0.350999998559,10000,1
InternVL3.5-8B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,ecr,spearman,50,0.157955168111,-0.146700238706,0.433623626262,10000,1
InternVL3.5-8B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,ecr,pearson,50,0.125674456798,-0.15580752486,0.33145455046,10000,1
InternVL3.5-8B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,local_provenance_precision,spearman,50,0.173589435774,-0.121502720794,0.444265839371,10000,1
InternVL3.5-8B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,local_provenance_precision,pearson,50,0.041634829537,-0.178788269466,0.312334244117,10000,1
InternVL3.5-8B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,geo_f1,spearman,50,0.184153661465,-0.111935715026,0.455651857482,10000,1
InternVL3.5-8B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,geo_f1,pearson,50,0.0816836561207,-0.171337917898,0.331164556457,10000,1
InternVL3.5-8B,deletion_drop,Selected-prefix minus evidence-deleted yes margin,ecr,spearman,500,0.0288447777076,-0.0581014221458,0.11176028767,10000,1
InternVL3.5-8B,deletion_drop,Selected-prefix minus evidence-deleted yes margin,ecr,pearson,500,0.123821008979,0.0723155164266,0.173581263497,10000,1
InternVL3.5-8B,deletion_drop,Selected-prefix minus evidence-deleted yes margin,local_provenance_precision,spearman,500,0.0220873304656,-0.0666691252775,0.10741512718,10000,1
InternVL3.5-8B,deletion_drop,Selected-prefix minus evidence-deleted yes margin,local_provenance_precision,pearson,500,0.0123690106072,-0.0834794465343,0.113661766835,10000,1
InternVL3.5-8B,deletion_drop,Selected-prefix minus evidence-deleted yes margin,geo_f1,spearman,500,0.0327604567045,-0.054542863825,0.11766432859,10000,1
InternVL3.5-8B,deletion_drop,Selected-prefix minus evidence-deleted yes margin,geo_f1,pearson,500,0.0263799623422,-0.0670241773547,0.122395900821,10000,1
InternVL3.5-8B,evidence_restoration_gain,Full evidence restoration minus evidence-deleted yes margin,ecr,spearman,500,0.0288447777076,-0.0556480385352,0.113519729995,10000,1
InternVL3.5-8B,evidence_restoration_gain,Full evidence restoration minus evidence-deleted yes margin,ecr,pearson,500,0.123821008979,0.0711446118403,0.171727374342,10000,1
InternVL3.5-8B,evidence_restoration_gain,Full evidence restoration minus evidence-deleted yes margin,local_provenance_precision,spearman,500,0.0220873304656,-0.064370617307,0.107899627657,10000,1
InternVL3.5-8B,evidence_restoration_gain,Full evidence restoration minus evidence-deleted yes margin,local_provenance_precision,pearson,500,0.0123690106072,-0.084059935434,0.116912822714,10000,1
InternVL3.5-8B,evidence_restoration_gain,Full evidence restoration minus evidence-deleted yes margin,geo_f1,spearman,500,0.0327604567045,-0.054693132069,0.12164991022,10000,1
InternVL3.5-8B,evidence_restoration_gain,Full evidence restoration minus evidence-deleted yes margin,geo_f1,pearson,500,0.0263799623422,-0.0676084498807,0.123679014112,10000,1
InternVL3.5-8B,restoration_specific_gain,Evidence restoration minus matched-count random restoration,ecr,spearman,500,0.0348325292234,-0.0520438409682,0.121014327014,10000,1
InternVL3.5-8B,restoration_specific_gain,Evidence restoration minus matched-count random restoration,ecr,pearson,500,0.117185611285,0.0678906216859,0.164448599332,10000,1
InternVL3.5-8B,restoration_specific_gain,Evidence restoration minus matched-count random restoration,local_provenance_precision,spearman,500,0.0140675693283,-0.0734559970382,0.101098054357,10000,1
InternVL3.5-8B,restoration_specific_gain,Evidence restoration minus matched-count random restoration,local_provenance_precision,pearson,500,-0.00412072633018,-0.103812946343,0.104763185218,10000,1
InternVL3.5-8B,restoration_specific_gain,Evidence restoration minus matched-count random restoration,geo_f1,spearman,500,0.0232544593379,-0.0637896713607,0.111433947246,10000,1
InternVL3.5-8B,restoration_specific_gain,Evidence restoration minus matched-count random restoration,geo_f1,pearson,500,0.00938309779587,-0.0828237256731,0.108356513591,10000,1
