model,method,scope,negative_n,false_positives,hFPR,hFPR_ci95_low,hFPR_ci95_high,delta_hFPR_vs_all,paired_probe_n,paired_accuracy,delta_accuracy_vs_all,AUROC,delta_AUROC_vs_all,PosECR,delta_PosECR_vs_all,AncECR,delta_AncECR_vs_all,NegSRC,delta_NegSRC_vs_all
LLaVA-1.5-7B,SCOPE (40%),target_absence_confirmed,465,261,0.561290,0.515868,0.605709,-0.000710,930,0.590323,0.004323,0.651631,0.007981,0.613067,-0.001081,0.613067,-0.001081,0.613067,-0.001081
LLaVA-1.5-7B,SCOPE (40%),strict_valid_near_miss,465,261,0.561290,0.515868,0.605709,-0.000710,930,0.590323,0.004323,0.651631,0.007981,0.613067,-0.001081,0.613067,-0.001081,0.613067,-0.001081
LLaVA-1.5-7B,AnchorPrune (40%),all_locked_negatives,500,293,0.586000,0.542331,0.628357,0.000000,1000,0.578000,0.000000,0.641778,0.000000,0.635219,0.000000,0.635219,0.000000,0.638970,0.000000
LLaVA-1.5-7B,AnchorPrune (40%),target_absence_confirmed,465,271,0.582796,0.537478,0.626757,-0.003204,930,0.583871,0.005871,0.650186,0.008408,0.636098,0.000879,0.636098,0.000879,0.640684,0.001714
LLaVA-1.5-7B,AnchorPrune (40%),strict_valid_near_miss,465,271,0.582796,0.537478,0.626757,-0.003204,930,0.583871,0.005871,0.650186,0.008408,0.636098,0.000879,0.636098,0.000879,0.640684,0.001714
LLaVA-1.5-7B,CoIn (40%),all_locked_negatives,500,337,0.674000,0.631722,0.713625,0.000000,1000,0.579000,0.000000,0.664052,0.000000,0.665950,0.000000,0.665950,0.000000,0.680363,0.000000
LLaVA-1.5-7B,CoIn (40%),target_absence_confirmed,465,311,0.668817,0.624810,0.710058,-0.005183,930,0.583871,0.004871,0.672082,0.008030,0.672417,0.006467,0.672417,0.006467,0.687520,0.007157
LLaVA-1.5-7B,CoIn (40%),strict_valid_near_miss,465,311,0.668817,0.624810,0.710058,-0.005183,930,0.583871,0.004871,0.672082,0.008030,0.672417,0.006467,0.672417,0.006467,0.687520,0.007157
LLaVA-1.5-7B,VisionZip (40%),all_locked_negatives,500,335,0.670000,0.627626,0.709782,0.000000,1000,0.582000,0.000000,0.663998,0.000000,1.000000,0.000000,0.562501,0.000000,1.000000,0.000000
LLaVA-1.5-7B,VisionZip (40%),target_absence_confirmed,465,311,0.668817,0.624810,0.710058,-0.001183,930,0.586022,0.004022,0.672381,0.008383,1.000000,0.000000,0.562213,-0.000288,1.000000,0.000000
LLaVA-1.5-7B,VisionZip (40%),strict_valid_near_miss,465,311,0.668817,0.624810,0.710058,-0.001183,930,0.586022,0.004022,0.672381,0.008383,1.000000,0.000000,0.562213,-0.000288,1.000000,0.000000
