comparison,n,accuracy_diff,accuracy_ci_low,accuracy_ci_high,accuracy_mcnemar_p,hFPR_diff,hFPR_ci_low,hFPR_ci_high,hFPR_mcnemar_p
CoIn (40%) - Full,1000,-0.031,-0.057,-0.007,0.08360782675883316,0.328,0.288,0.37,3.5708136526831734e-48
CoIn (40%) - Protected (40%),1000,-0.066,-0.092,-0.041,0.00022212656716572265,0.334,0.288,0.38,9.395717679289885e-39
CoIn (40%) - Target (40%),1000,-0.028,-0.053,-0.003,0.06720283514382126,0.136,0.09,0.182,1.6312842830887058e-08
CoIn (40%) - SCOPE (40%),1000,-0.003,-0.022,0.015,0.8634152303019917,0.124,0.094,0.156,6.387730835678276e-15
CoIn (40%) - Random (40%),1000,-0.065,-0.091,-0.04,0.00038559754890810154,0.376,0.3320000000000001,0.42,9.694442206814312e-53
CoIn (40%) - Grid (40%),1000,-0.054,-0.079,-0.03,0.004314217928456177,0.374,0.33,0.418,2.052931199075097e-49
CoIn (40%) - VisionZip (40%),1000,0.015,-0.005,0.034,0.26682526360032177,-0.018,-0.058,0.022,0.43944010177908277
