method,n,accuracy,hFPR,positive_accuracy,negative_accuracy,positive_ECR,negative_source_coverage,keep_ratio,selector_ms,prune_overhead_ms,forward_ms,path
Full,1000,0.626,0.304,0.556,0.696,1.0,1.0,1.0,0.0,0.0,0.0,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_direct
Protected (40%),1000,0.661,0.298,0.62,0.702,1.0,1.0,0.4010416666666667,0.9544054307043552,2.4762622453272343,47.38791144452989,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_embed_protected_topk_0p40
Target (40%),1000,0.623,0.496,0.742,0.504,0.4577201634531756,0.43910983490065497,0.4010416666666667,0.2453922014683485,5.455032905563712,50.21340346522629,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_target_embed_topk_0p40_targetfix
CoIn (40%),1000,0.595,0.632,0.822,0.368,0.691510081051211,0.6861481270593727,0.4010416666666667,578.4680218622088,592.6108810331207,698.3996568869334,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_coin_0p40
SCOPE (40%),1000,0.598,0.508,0.704,0.492,0.641971539549964,0.641971539549964,0.4010416666666667,128.99601484276354,129.98438664223067,184.49504595738836,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_scope_0p40
Random (40%),1000,0.66,0.256,0.576,0.744,0.4018650299522023,0.43653126872943476,0.4010416666666667,0.14725206792354584,0.9885739758610725,44.071292074397206,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_random_0p40
Grid (40%),1000,0.649,0.258,0.556,0.742,0.3913524554587514,0.3913524554587514,0.4010416666666667,0.0,0.0,75.06789201684296,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_grid_0p40
VisionZip (40%),1000,0.58,0.65,0.81,0.35,0.5746570857166635,0.5746570857166635,0.4010416666666667,12.918877307325602,13.139762710779905,52.33260050788522,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_visionzip_0p40
